Board State,Action Probabilities,Player
"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.009827779857731186,0.0157244477723699,0.01525645825533508,0.03229127667540247,0.019655559715462373,0.01141894421564957,0,0.015162860351928117,0.0054286783976038935,0.01731561213028828,0.011980531636091352,0.018719580681392737,0.038281542493448145,0.027424185698240358,0.012074129539498315,0.010482965181579932,0.023773867465368775,0,0.07244477723698989,0.056439535754399105,0.029857731186821414,0.02059153874953201,0.004399101460127293,0.02208910520404343,0.021153126169973793,0.019468363908648447,0.014507675028079372,0.010295769374766004,0.027892175215275178,0.00889180082366155,0.03528640958442531,0.03294646199925122,0.05035567203294646,0.029576937476600524,0.009172594533882441,0.037439161362785474,0.013197304380381879,0.019468363908648447,0.01853238487457881,0.014133283414451516,0.0045862972669412205,0.010763758891800824,0.03378884312991389,0.019468363908648447,0.0049606888805690755,0.02489704230625234,0.009640584050917259,0.019936353425683263,0.019000374391613627",-1
"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.011931394481730051,0.016312453392990305,0.004101416853094705,0.014727815063385533,0.010719612229679343,0.011278896346010439,0,0.019388516032811335,0.01267710663683818,0.029735272184936615,0.015473527218493661,0.017244593586875467,0.020879940343027592,0.11204325130499627,0.02582028337061894,0.012304250559284116,0.020879940343027592,0,0,0.049869500372856077,0.022651006711409395,0.012117822520507084,0.036260253542132734,0.03812453392990306,0.012956748695003729,0.036260253542132734,0.02395600298284862,0.028057419835943325,0.018176733780760627,0.018176733780760627,0.02936241610738255,0.024888143176733782,0.01901565995525727,0.0314131245339299,0.003355704697986577,0.01761744966442953,0.015100671140939598,0.020879940343027592,0.02181208053691275,0.039895600298284865,0.014727815063385533,0.022837434750186427,0.004287844891871738,0.016498881431767337,0.007829977628635347,0.01603281133482476,0.021998508575689784,0.015287099179716629,0.0050335570469798654",1
"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.010576319799229184,0.010307430312808102,0.009948910997579994,0.005557049386035673,0.008514833736667563,0.01398225329389621,0,0.011024468943264318,0.013713363807475128,0.014340772609124317,0.02070449045442323,0.007349645962176212,0.006542977502912969,0,0.010397060141615129,0.013713363807475128,0.029936362821547012,0,0,0.2318723671237788,0.07950165815183292,0.023841534462669175,0.02222819754414269,0.0169400376445281,0.012906695348211886,0.014788921753159451,0.019628932508738907,0.01783633593259837,0.010934839114457291,0.008962982880702698,0.01398225329389621,0.01335484449224702,0.04167787039526755,0.02581339069642377,0.015057811239580532,0.008156314421439456,0.009142242538316752,0.03800304741417944,0.03997490364793403,0.0249170924083535,0.020883750112037285,0.012817065519404858,0.010576319799229184,0.00770816527740432,0.006542977502912969,0.018911893878282692,0.01783633593259837,0.006542977502912969,0.022048937886528636",-1
"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.005102447580323686,0.010922426851630392,0.004942996093438571,0.0043849158893406685,0.0017539663557362673,0.009088734752451567,0,0.008450928804911106,0.018416646735230805,0.006696962449174839,0.014191182332775254,0.014350633819660369,0.010444072390975046,0,0.012437215977038986,0.0065375109622897234,0.02591086661883122,0,0,0,0.48768237263812486,0.01163995854261341,0.010444072390975046,0.02559196364506099,0.017300486327035,0.012437215977038986,0.020011161604081958,0.01163995854261341,0.007015865422945069,0.009407637726221796,0.020090887347524514,0.009088734752451567,0.010125169417204816,0.008450928804911106,0.010284620904089931,0.018735549709001036,0.015546519971298732,0.014828988280315715,0.011400781312285738,0.009088734752451567,0.003189029737702304,0.0146695367934306,0.015546519971298732,0.010762975364745277,0.012118313003268755,0.015387068484413617,0.010284620904089931,0.0146695367934306,0.008929283265566452",1
"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.008212019410227697,0.013997760358342666,0.005039193729003359,0.011260420554933433,0.012318029115341545,0.01530421799178798,0,0.001617518974741819,0.014495458504417072,0.02855543113101904,0.02021898718427274,0.006594500435485878,0.006470075898967276,0,0.018228194599975114,0.008087594873709095,0.02619136493716561,0,0,0,0,0.007838745800671893,0.0335946248600224,0.013002364066193853,0.004603707851188255,0.017481647380863507,0.1715192235908921,0.11372402637800175,0.01530421799178798,0.013251213139231057,0.015677491601343786,0.013002364066193853,0.025942515864128407,0.08392434988179669,0.05536891875077765,0.010887146945377629,0.01947243996516113,0.013375637675749659,0.008087594873709095,0.03210153042179918,0.02637800174194351,0.023018539255941273,0.0169217369665298,0.004043797436854547,0.02438720915764589,0.009145203434117209,0.009456264775413711,0.013375637675749659,0.008523080751524201",-1
"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.009830908375933936,0.010931970114038536,0.011325206449075895,0.013527329925285096,0.005426661423515533,0.005898545025560362,0,0.006370428627605191,0.004168305151395989,0.005741250491545419,0.00849390483680692,0.004325599685410932,0.0047974832874557605,0,0.007156901297679905,0.01321274085725521,0.012033031852143139,0,0,0,0,0.008651199370821865,0.013920566260322453,0.017223751474636256,0.009673613841918994,0.005741250491545419,0,0.604168305151396,0.013370035391270154,0.021392056626032246,0.006999606763664962,0.00684231222965002,0.009437672040896579,0.01753834054266614,0.009673613841918994,0.008022021234762092,0.013370035391270154,0.009673613841918994,0.011167911915060951,0.011167911915060951,0.00998820290994888,0.011167911915060951,0.0046401887534408175,0.012976799056232795,0.012347620920173025,0.007156901297679905,0.010460086511993708,0.0034604797483287456,0.006527723161620134",1
"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.019443342214160195,0.021200612210192166,0.01779944447593674,0.014908451901819626,0.011393911909755684,0.007595941273170455,0,0.006859021597415113,0.008786349980159855,0.019216597698543166,0.02012357576101128,0.008786349980159855,0.01519188254634091,0,0.02188084575704325,0.008786349980159855,0.010997109007425883,0,0,0,0,0.01740264157360694,0.01065699223400034,0.005498554503712941,0.014795079644011111,0.006575590952893827,0,0,0.011677342554276968,0.03123405702624568,0.016325605124426053,0.01711921092908565,0.02743608638966045,0.1926194660166657,0.08349866787597075,0.01989683124539425,0.014341590612777053,0.02188084575704325,0.012130831585511025,0.020407006405532568,0.07941726659486424,0.0401904653931183,0.019613400600872966,0.0074825690153619406,0.019613400600872966,0.02942010090130945,0.019046539311830396,0.043591633127373734,0.005158437730287398",-1
"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.005764335978439886,0.005914058990866896,0.0039676598293157655,0.0032939062733942205,0.005914058990866896,0.009357688276688127,0,0.008683934720766583,0.006662674053001946,0.0016469531366971103,0.004267105854169786,0.004416828866596796,0.005914058990866896,0,0.007935319658631531,0.011229225932025752,0.005464889953585866,0,0,0,0,0.008309627189699057,0.009133103758047613,0.015196885761341518,0.0029944602485402006,0.0028447372361131906,0,0,0.003817936816888756,0.007411289115136997,0.008309627189699057,0.003743075310675251,0.010854918400958227,0,0.7448719868243749,0.0032939062733942205,0.003817936816888756,0.005240305434945351,0.006662674053001946,0.005614612966012876,0.009582272795328643,0.007186704596496482,0.008983380745620603,0.004940859410091331,0.004416828866596796,0.005315166941158856,0.010705195388531217,0.008085042671058541,0.008234765683485551",1
"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.01657375320174778,0.021897443624127367,0.007382853698960374,0.015067048365225252,0.014514589925166993,0.018130681532821054,0,0.017527999598212045,0.01019536939380242,0.013962131485108734,0.02039073878760484,0.005122796444176586,0.025463311737230678,0,0.014765707397920748,0.014263472452413238,0.021294761689518358,0,0,0,0,0.012103862186730954,0.026467781628245694,0.01566973029983426,0.023203254482446888,0.004017879564060067,0,0,0.020842750238561598,0.023504595449751392,0.025312641253578422,0.0267691225955502,0.0179800110491688,0,0,0.017678670081864297,0.014464366430616242,0.039124102255034904,0.02275124303149013,0.024860629802621666,0.1619205464316207,0.04595449751393702,0.03244437747978504,0.007031289237105118,0.01612174175079102,0.023052583998794635,0.042137511928079956,0.08035759128120135,0.03967656069509316",-1
"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0","0.005536174730775064,0.002654330350371606,0.001668436220233581,0.005005308660700743,0.002654330350371606,0.0010617321401486426,0,0.003033520400424693,0.0022751403003185198,0.003033520400424693,0.002881844380403458,0.004626118610647657,0.0036402244805096313,0,0.002654330350371606,0.0075838010010617326,0.0020476262702866675,0,0,0,0,0.002881844380403458,0.0038677385105414836,0.006597906870923707,0.0022751403003185198,0.0024268163203397543,0,0,0.0028060063703928407,0.00538449871075383,0.002654330350371606,0.005308660700743212,0.0024268163203397543,0,0,0.0022751403003185198,0.002578492340360989,0.006825420900955559,0.001668436220233581,0.0039435765205521,0,0.86364325800091,0.0037160624905202486,0.003261034430456545,0.002881844380403458,0.0028060063703928407,0.004095252540573335,0.00879720916123161,0.00652206886091309",1
"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0","0.027820710973724884,0.025478900285700903,0.019905390848203832,0.023137089597676925,0.0190623390005152,0.02252821881879069,0,0.0305372113718327,0.017048381808814576,0.034658798182754906,0.027820710973724884,0.015924312678563066,0.02721184019483865,0,0.027399185049880568,0.028663762821413516,0.033628401480024356,0,0,0,0,0.02721184019483865,0.026462460774670977,0.035267668961641144,0.017282562877616973,0.013207812280455249,0,0,0.018406632007868483,0.026368788347150018,0.030115685447988386,0.0282422368975692,0.028429581752611118,0,0,0.02252821881879069,0.028851107676455434,0.027633366118682966,0.020373752985808628,0.027820710973724884,0,0,0.03774998829094656,0.02463584843801227,0.028429581752611118,0.024026977659126036,0.027633366118682966,0.04964638658610838,0.04885017095218023",-1
"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0","0.001632801161103048,0.0012699564586357039,0.00272133526850508,0.0020863570391872277,0.003809869375907112,0.00045355587808418,0,0.00090711175616836,0.0024492017416545718,0.0022677793904208998,0.0009978229317851959,0.0010885341074020319,0.00136066763425254,0,0.001542089985486212,0.00317489114658926,0.0043541364296081275,0,0,0,0,0.00136066763425254,0.002812046444121916,0.0010885341074020319,0.0020863570391872277,0.00090711175616836,0,0,0.00362844702467344,0.0006349782293178519,0.000725689404934688,0.0022677793904208998,0.002812046444121916,0,0,0.0009978229317851959,0.003265602322206096,0.001632801161103048,0.003356313497822932,0.002993468795355588,0,0,0.0022677793904208998,0.001632801161103048,0.0021770682148040637,0.003537735849056604,0.0022677793904208998,0,0.9274310595065312",1
